sourceId,sourceName,author,title,description,url,urlToImage,publishedAt,content
None,Storm.mg,鍾巧庭,2020白宮之戰》選民最關心：除了「和川普不一樣」，拜登如何帶領美國走出疫情風暴,2020美國總統大選進入最終倒數階段，美國新冠肺炎（武漢肺炎）疫情仍居高不下。全美迄今已突破900萬人染疫、超過23萬人病故，...,https://www.storm.mg/article/3164455,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/11/01/20201101-122034_U11552_,"2020-11-01 08:30:01","202090023103010
Donald TrumpJoe BidenTIME
10222
Heres what we know about Joe Bidens COVID-19 plan https://t.co/sVCi0650Ki
TIME (@TIME) October 30, 2020
1023Kamala Harris
10contact tracing
pers… [+119 chars]"
None,Storm.mg,蔡佩珈,3000萬劑新冠疫苗談判破局！指揮中心指台灣東洋「最基本文件都沒有」,"台灣東洋藥品工業股份有限公司（台灣東洋）日前取得德國BioNTech SE（BNT）的新冠肺炎（武漢肺炎）疫苗代理權，...",https://www.storm.mg/article/3171675,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/10/21/20201021-022231_U8719_M,"2020-11-03 13:15:18",None
None,Storm.mg,盧逸峰,「再發5000元振興券！」商總賴正鎰籲鬆綁商務人士14天隔離限制,全國商業總會29日舉行政策建言發表記者會，商總理事長賴正鎰指出，新冠肺炎（武漢肺炎）不但對國內各產業造成重創、且疫情仍在全球蔓延，...,https://www.storm.mg/article/3157091,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/10/29/20201029-040036_U6571_M,"2020-10-29 12:06:06",None
None,Storm.mg,羅立邦,「單日雙位數確診恐重現」　醫師示警促政府加強控制這道關卡,新冠肺炎（武漢肺炎）疫情肆虐全球，近日台灣境外移入確診者暴增，引發關注。對此，中山醫學大學附設醫院兒童急診科主任謝宗學指出，...,https://www.storm.mg/article/3205983,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/01/30/20200130-031838_U14224_,"2020-11-15 00:50:01",None
None,Storm.mg,黃天如,「擁雙北30戶房卻不租不賣！」嚴格執行囤房稅會是居住正義的解藥嗎？,新冠肺炎（武漢肺炎）病毒突襲，除了人類健康，也為全球經濟造成打擊；然而同一時間，房市卻因貨幣寛鬆釋出得過多資金，一時之間熱絡非常。...,https://www.storm.mg/article/3140072,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2019/09/14/20190914-015751_U5965_M,"2020-10-26 01:00:01",None
None,Storm.mg,鍾巧庭,「是人終歸一死」！巴西新冠飆破570萬例　「熱帶川普」博索納羅要人民「別像個娘們,巴西新冠肺炎（武漢肺炎）疫情嚴峻，確診人數高居全球第三，總統博索納羅本人早就確診染病，卻依然不把疫情當一回事。...,https://www.storm.mg/article/3200173,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/11/12/20201112-064854_U11552_,"2020-11-12 13:00:01","16
Jair Bolsonaro657Michelle Bolsonaro7
Reuters10......
Sinovac Biotech11
São Paulo10Butantan Institute4600CoronaVacJoão Doria
Bolsonaro embraces a zen outlook https://t.co/zhVmGMJJhd
John Huds… [+34 chars]"
None,"udn 聯合新聞網",中國新聞組／北京1日,"「雙陰證明」太難！ 海外中國人放棄返鄉 - UDN 聯合新聞網","<ol><li>「雙陰證明」太難！ 海外中國人放棄返鄉  UDN 聯合新聞網
</li><li>COVID-19 新冠病毒全球疫情懶人包美國創紀錄單日確診破10萬全美染疫突破900萬例｜2020/10/31 17:10  ETtoday新聞雲
</li><li>躲開美國也沒用 哈麗普感染新冠肺炎  Yahoo奇摩
</li><li>新冠肺炎逾百萬確診英國二度封城20201101 公視中晝新聞",https://udn.com/news/story/7332/4980137,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/wj/paper/2020/11/01/8934418.jpg&s=,"2020-11-01 06:25:24",None
None,Storm.mg,中央社,上任後抗疫優先！拜登：疫苗上市後人人免費施打,美國和德國藥廠研發武漢肺炎疫苗傳佳音，美國總統當選人拜登今天表示，疫苗上市後將讓美國人人免費施打，並公平且有效率分配。但他強調，...,https://www.storm.mg/lifestyle/3190744,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/11/10/20201110-095812_U13380_,"2020-11-10 02:01:09","PfizerBioNTech2019COVID-19390%7Joe Biden13
Wilmington
FDA
20
Johns Hopkins University100023"
None,Storm.mg,鍾巧庭,不住泰國的泰王》拉瑪十世長年滯留海外「遠端治國」、奢華度假　德國恐下逐客令？,泰王「拉瑪十世」瓦吉拉隆功長年旅居海外，即使在登基後仍鮮少待在泰國，大多數時間都於德國的豪華寓所內「遠端治國」，年初泰國新冠肺炎（武漢肺炎...,https://www.storm.mg/article/3147166,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/10/26/20201026-094510_U11552_,"2020-10-27 01:00:01","68King Maha VajiralongkornBavaria11215133Lèse-majesté
8800GarmischPartenkirchen
Maha VajiralongkornKathinaErik Kirschbaum
Is Germany about to lose patience with its Thai king guest? https://t.co/J… [+356 chars]"
None,Storm.mg,蔡佩珈,交大研發獨創快篩系統　5分鐘精準判斷新冠肺炎感染程度,為因應新冠肺炎（武漢肺炎）疫情，交通大學研究團隊27日發表「全定量」快篩檢測系統，只需5分鐘即可精準判斷人體感染程度，...,https://www.storm.mg/article/3149876,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/05/07/20200507-113439_U6571_M,"2020-10-27 11:23:25",None
None,Storm.mg,李芯,何時拿到輝瑞新冠疫苗？陳時中：沒說明年1月就有,針對美國輝瑞藥廠與德國生技公司BioNTech研發的新冠肺炎（武漢肺炎）疫苗，台灣是否能在明年1月取得、並準備好相關技術，...,https://www.storm.mg/article/3196484,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/11/11/20201111-104855_U13721_,"2020-11-11 13:55:41",None
None,"udn 聯合新聞網",巴黎28日綜合外電報,"全球新冠肺炎單日確診突破50萬例 再創新高 - UDN 聯合新聞網","<ol><li>全球新冠肺炎單日確診突破50萬例 再創新高  UDN 聯合新聞網
</li><li>第2波更嚴重？中國學者：武肺病毒變異無症狀感染者大增| 中國  新頭殼
</li><li>警惕無症狀患者越來越多！ 張伯禮：病毒已變異「傳染性增強」  ETtoday 新聞雲
</li><li>歐洲疫情火箭式飆升 全球確診將超越兩個台灣人口  udn OOPS! 新鮮事
</li><li>武",https://udn.com/news/story/120944/4971865,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2020/10/28/98/8856603.jpg&s=Y&x=0&,"2020-10-28 18:16:04",None
None,"udn 聯合新聞網",編譯胡夢瑋／即時報導,"再創新高！美國單日新增逾9.1萬新冠病例 - UDN 聯合新聞網","<ol><li>再創新高！美國單日新增逾9.1萬新冠病例  UDN 聯合新聞網
</li><li>新冠病毒新變種肆虐歐洲 福奇悲觀美國疫情  Anue鉅亨
</li><li>武漢肺炎變種病毒橫掃歐洲！封城前夕，巴黎湧現塞車潮  科技新報 TechNews
</li><li>新冠肺炎10月30日全球最新情報  UDN 聯合新聞網
</li><li>英國1天增10萬確診 單日感染數「9天就翻倍",https://udn.com/news/story/120944/4975247,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2020/10/30/realtime/8879919.jpg&s=,"2020-10-30 02:34:05","CNNOccupational and Environmenta..."
None,Storm.mg,黃信維,"再擋啊！「Taiwan can help」遭世衛封鎖　立委、網友大玩「壓力測試」",世界衛生大會（WHA）今年因為武漢肺炎（新冠肺炎）改為視訊進行，但台灣今年再度未獲邀參與，甚至有網友發現，世界衛生組織（WHO）...,https://www.storm.mg/article/3199156,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2018/05/22/20180522-094046_U12418_,"2020-11-12 06:49:12","WHAWHOWHATaiwan can helpPresident Tsai Can Help
WHOTaiwan can helpWHOWho
.............
WHOWHOWHO2300
WHO"
None,"udn 聯合新聞網",編譯胡夢瑋／即時報導,"別無選擇！比利時要求染疫醫生繼續在醫院工作 - UDN 聯合新聞網","<ol><li>別無選擇！比利時要求染疫醫生繼續在醫院工作  UDN 聯合新聞網
</li><li>武漢肺炎全球最新情報 10/27  中央社即時新聞
</li><li>疫情焦點︱港增5病例全輸入連續兩日本地「零確診」 （附個案搜尋器）  香港蘋果日報
</li><li>本港新增八宗確診全屬輸入個案 無本地感染  雅虎香港新聞
</li><li>家聚爆疫輾轉傳朋友同事16人  加拿大星島日",https://udn.com/news/story/120944/4966624,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2020/10/27/realtime/8845345.jpg&s=,"2020-10-27 02:05:05","BBC10
Belgian Association of Medical UnionsPhilippe DevosBBC
26
3210311810"
None,Storm.mg,盧逸峰,創下半年來新高！今新增8例境外移入確診個案　菲律賓占最大宗,中央流行疫情指揮中心今（13）日因應新冠肺炎（武漢肺炎）召開臨時記者會，發言人莊人祥公布國內新增8例境外移入確診，其中5例自菲律賓入境、...,https://www.storm.mg/article/3202380,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/06/04/20200604-124144_U720_M6,"2020-11-13 06:45:08",59159259559659723595420301028291111125
None,Storm.mg,羅立邦,北市旅遊「救急方案」12月出爐　柯文哲：團客自由行都補助,新冠肺炎（武漢肺炎）疫情造成各國封鎖邊界，衝擊全球觀光經濟，眼看第2波疫情到來，旅館業恐再臨寒冬，台北市長柯文哲預告，...,https://www.storm.mg/article/3189444,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/11/09/20201109-023742_U14224_,"2020-11-09 11:30:01",None
None,"udn 聯合新聞網",東京9日綜合外電報導,"北海道疫情擴大 新冠肺炎預估單日新增破200例 - UDN 聯合新聞網","<ol><li>北海道疫情擴大 新冠肺炎預估單日新增破200例  UDN 聯合新聞網
</li><li>全球武漢肺炎確診破5000 萬例，歐洲疫情最嚴重  科技新報 TechNews
</li><li>疫情蠢動！衣服洗錯「整件病菌穿上身」 醫教2點正確步驟  三立新聞網
</li><li>歐洲疫情燒過來 增一例烏克蘭籍年輕女性  udn OOPS! 新鮮事
</li><li>疫情間「有條件",https://udn.com/news/story/120944/5000244,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2020/11/09/98/9041488.jpg&s=Y&x=0&,"2020-11-09 03:29:46",None
None,Storm.mg,中央社,南韓單日確診增逾百例　日常活動感染風險上升,韓國中央防疫對策本部通報，截至5日凌晨零時，確診感染2019冠狀病毒疾病（COVID-19，武漢肺炎）新增125例，當局指出，隨著氣溫下降...,https://www.storm.mg/article/3178874,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/11/05/20201105-094045_U7213_M,"2020-11-05 14:30:01",None
None,Storm.mg,黃天如,南韓接種後70死、國內多起不良反應澆滅搶打熱潮　流感疫苗還能打嗎？,新冠肺炎（武漢肺炎）方興未艾，當新冠疫苗還在樓梯響，今年流感疫苗一開打就掀起搶打潮，未料隨著流感疫苗接種不良反應事件頻傳，甚至出現致死個案...,https://www.storm.mg/article/3161353,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/10/07/20201007-110541_U1085_M,"2020-11-02 00:40:01",None
None,Storm.mg,方莉婷,台北101跨年煙火一定放！張學舜：盼能鼓勵人心,受疫情影響，北市年底重頭戲跨年晚會是否如期舉行受矚目。台北市政府於22日晚間定調，若出現1名新冠肺炎（武漢肺炎）本土不明感染病例，...,https://www.storm.mg/article/3138289,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2017/01/01/20170101-122355_U1841_M,"2020-10-23 10:06:41",None
None,Storm.mg,蔡佩珈,台灣何時能買輝瑞疫苗？柯文哲：一定排在後面，要務實一點,美國製藥廠輝瑞（Pfizer）與德國生技公司BioNTech（BNT）合作研發的新冠肺炎（武漢肺炎）疫苗有效率超過90%，...,https://www.storm.mg/article/3192819,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/11/10/20201110-022308_U6571_M,"2020-11-10 09:40:43",None
None,Storm.mg,羅立邦,台灣又被邊緣化？疫情下經濟、死亡影響雙低　醫師讚：活在平行世界的角落生物！,國外經濟學者日前發表報告，分析新冠肺炎（武漢肺炎）在全球造成的死亡與經濟影響，結果台灣不僅死亡人數少，更還是唯一有成長GDP的國家，...,https://www.storm.mg/article/3181985,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2018/06/04/20180604-025252_U12418_,"2020-11-07 01:20:01","Jesús Fernández-VillaverdeCharles I. JonesGDP7%800"
None,Storm.mg,羅立邦,台灣民意基金會民調》陳時中退步？國人給指揮中心78分，比2月少5分,新冠肺炎（武漢肺炎）疫情肆虐全球，衛福部長陳時中於今年1月24日起出任中央流行疫情指揮中心指揮官，期間宣布實施口罩實名制、集會人數限制、...,https://www.storm.mg/article/3146528,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/08/26/20200826-033313_U6571_M,"2020-10-27 02:00:01","12478.3225.84
279037.8%808926.4%617911.3%6011.9%6010.2%2.4%78.32
87.5%64.2%8026.55.84
https://bit.ly/3aAQ9d6"
None,"udn 聯合新聞網",記者陳婕翎／台北即時,"商務來台居檢有症狀沒說 比利時籍男自費採檢揪出確診 - udn OOPS! 新鮮","<ol><li>商務來台居檢有症狀沒說 比利時籍男自費採檢揪出確診  udn OOPS! 新鮮事
</li><li>武漢肺炎》韓國本土病例持續攀升！指揮中心：自中低風險國家移除| 生活  新頭殼
</li><li>武漢肺炎新增2例境外移入 2印尼移工確診  中央社即時新聞
</li><li>「恐添20萬人命」美淪新冠地獄  UDN 聯合新聞網
</li><li>新增2例境外移入 印尼2女移",https://udn.com/news/story/120940/5006582,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2020/11/11/realtime/9054797.png&s=,"2020-11-11 06:14:04",None
None,Storm.mg,潘維庭,商務客可縮短檢疫天數，台商行不行？陸委會：勿與特殊專案混淆,新冠肺炎（武漢肺炎）疫情下，台商關注春節期間返台買機票的便利性，以及縮短居家檢疫天數的可能性。陸委會發言人邱垂正12日在例行記者會上回應，...,https://www.storm.mg/article/3200470,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/11/12/20201112-061607_U589_M6,"2020-11-12 13:48:10",None
None,Storm.mg,盧逸峰,國際疫情持續升溫！陳時中宣布9日起將對「有症狀入境者」加強檢疫,中央流行疫情指揮中心今（4）日召開新冠肺炎（武漢肺炎）例行疫情記者會，指揮官陳時中宣布今日新增1名境外移入確診個案，...,https://www.storm.mg/article/3173995,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/09/08/20200908-120046_U1085_M,"2020-11-04 06:33:16",None
None,Storm.mg,陳煜,士林夜市慘澹！攤商淚「100多家歇業」　網點破最大關鍵,士林夜市曾是台北最具指標性的夜市之一，過去人潮絡繹不絕，如今受新冠肺炎（武漢肺炎）疫情衝擊，人潮受到影響，有攤商透露，...,https://www.storm.mg/article/3142626,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/07/03/20200703-022933_U11927_,"2020-10-25 02:46:47",None
None,Storm.mg,李芯,士林夜市百攤歇業　朱學恒9年前就點出致命傷,新冠肺炎（武漢肺炎）疫情肆虐，少了外國客的台北士林夜市據傳已經關了100多家攤商。對此，「宅神」朱學恒翻出自己9年前的文章就已「預言」...,https://www.storm.mg/article/3149304,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2019/02/21/20190221-031845_U13925_,"2020-10-27 08:12:30",None
None,"udn 聯合新聞網",記者陳婕翎、邱宜君／,"大烏龍！ 檢體錯置 江蘇台商沒染疫 - UDN 聯合新聞網","<ol><li>大烏龍！ 檢體錯置 江蘇台商沒染疫  UDN 聯合新聞網
</li><li>指揮中心卸責 實驗室人員爆不滿  中時新聞網
</li><li>快訊／新增3例境外移入！指揮中心1400臨時記者會說明  ETtoday 新聞雲
</li><li>武漢肺炎》檢體錯置大烏龍！ 指揮中心︰自江蘇返台台商未染疫  自由時報電子報
</li><li>快訊》今境外移入再添3名！莊人祥下午2點",https://udn.com/news/story/120940/4971946,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2020/10/29/realtime/8856403.jpg&s=,"2020-10-28 17:12:04",None
None,Storm.mg,方莉婷,對台灣防疫「讚不完」　芭芭拉史翠珊點名蔡英文：令人驚嘆的女總統,新冠肺炎（武漢肺炎）肆虐，全球確診人數超過4000萬，更有百萬人因此喪命；相較於國際，台灣目前為止確診人數逾500人、僅7起死亡病例，...,https://www.storm.mg/article/3158752,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2018/01/09/20180109-020408_U7111_M,"2020-10-30 04:49:01",None
None,Storm.mg,財經中心,"對抗新冠肺炎疫情 東洋持續努力，期望貢獻一分心力！",除了「瑞德西韋」(Remdesivir)以及「法匹拉韋」(Favipiravir)被國際看好是治療新冠肺炎(COVID-19，武漢肺炎)...,https://www.storm.mg/article/3160438,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/09/23/20200923-032956_U11927_,"2020-10-30 13:17:38","(Remdesivir)(Favipiravir)(COVID-19)()PharmaMar1019Plitidepsin(Aplidin)/
PharmaMar/PlitidepsinC(CRP)747750%1570%80.7%15,38.2%830COVID-19AEMPSPlitidepsinPharmaMar
2015PharmaMarPlitidepsinPharmaMarTFD… [+55 chars]"
None,Storm.mg,陳煜,常態出國預定時間曝！搶布局「5大市場」　廉價機票恐絕跡,新冠肺炎（武漢肺炎）疫情影響全球觀光產業，交通部觀光局預估，國際觀光要到2021年第4季才有可能解封邊境，...,https://www.storm.mg/article/3169451,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/08/30/20200830-023616_U6571_M,"2020-11-03 02:11:19",None
None,Storm.mg,盧逸峰,年底恐倒千家旅行社！旅行業者懇求政府伸出援手,新冠肺炎（武漢肺炎）疫情重擊國內外旅行業者，中華民國旅行公會全聯會28日舉辦「疫情下，旅行產業的未來」記者會，與全國各相關公協會表達心聲、...,https://www.storm.mg/article/3153595,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/10/28/20201028-034120_U6571_M,"2020-10-28 11:18:18",None
None,Storm.mg,廖綉玉,得過新冠肺炎能從此免疫嗎？英國研究：具抗體的患者人數在3個月內減26%，恐有多次,武漢肺炎（新冠肺炎）從今年1月起肆虐全球，根據美國約翰霍普金斯大學（JHU）數據，截至27日，全球已有逾4300萬個確診病例，疫情持續延燒...,https://www.storm.mg/article/3150082,https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2020/03/20/20200320-112425_U1085_M,"2020-10-27 12:10:01","1JHU27430027326%
Imperial College London343562092826%671609144
18247.9%6.7%14.9%753.3%2%39%
Graham Cooke
Paul Elliott"
None,"udn 聯合新聞網",編譯徐榆涵／即時報導,"德媒：泰王凌晨秘密送醫 1隨扈確診新冠肺炎 - udn OOPS! 新鮮事","<ol><li>德媒：泰王凌晨秘密送醫 1隨扈確診新冠肺炎  udn OOPS! 新鮮事
</li><li>泰王秘密就醫德媒曝1隨扈確診新冠病毒  TVBS NEWS
</li><li>泰王凌晨秘密送醫！德媒爆貼身隨扈確診新冠 醫院急下封口令  ETtoday 新聞雲
</li><li>示威如火如荼要求王室改革 泰王讚保皇派勇敢  UDN 聯合新聞網
</li><li>武漢肺炎》王室隨扈確",https://udn.com/news/story/120944/4960564,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2020/10/24/realtime/8821683.jpg&s=,"2020-10-24 05:31:04","BildMaha Vajiralongkorn212
23·Bhumibol Adulyadej4Queen Suthida
14"
